genename,logfc
NDUFS8,-1.047339757
NDUFAB1,-0.842892965
NDUFS4,-2.257078807
NDUFB5,-0.983689626
NDUFB3,-1.882818858
NDUFC1,-0.492958387
NDUFA2,-1.89327685
NDUFS5,-1.018198649
NDUFS7,-1.231648127
NDUFS2,-0.902395884
NDUFS6,-1.742965062
NDUFB1,-1.175058365
NDUFS3,-0.922047933
NDUFB6,-0.221501668
NDUFA3,-0.83739535
NDUFB4,-1.151449203
NDUFB8,-1.06054306
NDUFB2,-0.366018295
NDUFA7,-2.175676982
NDUFC2,-0.616077423
NDUFA10,-0.845018387
NDUFB10,-0.579895655
NDUFB7,-1.520437241
NDUFV2,-1.464451472
NDUFS1,-1.948145549
NDUFV1,-1.60762469
NDUFA8,-0.677825928
NDUFV3,-1.939372063
NDUFV3,-1.312677383
NDUFA6,-1.27872022
NDUFA5,-0.792229335
NDUFA9,-0.722640991
NDUFA11,-0.598832448
NDUFB11,-0.027060827
NDUFA13,-1.042981466
NDUFA12,-1.642055511
NDUFB9,-1.005139669
NDUFA4,-0.708907445
