genename,logfc
MRPS12,-2.103017362
MRPS14,-2.147525851
MRPL3,-0.14111557
MRPL19,-0.112902578
MRPL12,0.061828423
MRPS22,-2.287108199
MRPS25,-1.935776774
MRPS10,-1.764629809
MRPS35,-1.926251094
MRPS5,-1.889906979
MRPS36,0.054414558
MRPS11,-1.565969213
MRPS15,-1.92690436
MRPS21,-2.122394943
MRPS34,-1.462354151
MRPS6,-1.544162687
MRPS9,-1.31670812
MRPL28,0.041102664
MRPL49,-0.166013463
MRPL58,-0.1668389
MRPL23,0.016672325
MRPL51,0.190321287
MRPL2,-0.074239858
MRPL14,-0.215670013
MRPL21,0.011426926
MRPL55,0.060283852
MRPL10,-0.052564112
MRPL41,-0.072974904
MRPL50,-0.003812853
MRPL43,0.012937101
GADD45GIP1,-0.151697795
MRPL30,-0.346570396
MRPS27,-1.431526248
MRPS31,-1.576760419
MRPL24,0.098334821
MRPL38,-0.070468585
MRPS24,-1.169647471
MRPL53,0.074734052
PTCD3,-1.57728742
MRPL48,-0.13865935
MRPL34,-0.16094799
MRPL57,-0.198578199
MRPL45,-0.075560697
MRPL32,-0.241552925
MRPL20,-0.082689412
MRPL13,-0.191655986
MRPL9,-0.056095441
MRPL4,-0.051286379
MRPL1,-0.139932632
MRPS26,-2.055831146
MRPL37,0.00936985
MRPL18,-0.169803556
MRPL46,-0.06558698
MRPL44,0.051199849
MRPL47,0.045523198
MRPS30,-0.275016658
MRPL40,-0.270580928
MRPL17,-0.210432116
MRPS18A,0.001044401
MRPL22,-0.059735425
MRPL16,0.017569669
MRPL39,0.003490575
MRPL35,-0.009599749
MRPL15,0.037126732
MRPL27,0.006998825
MRPS33,-2.35369277
MRPS28,-1.418679937
MRPS17,-1.999303436
MRPS7,-1.214283625
MRPS2,-1.358789063
MRPL11,0.122616895
MRPS16,-2.019739215
MRPS23,-1.401789856
MRPS18B,-2.371227455
MRPL42,-0.206030782
